ID: 101 , Time: 10:20PM Sep20 2015 , score: 228 , Depth: 4 , Access: True , Code: 200 , Size 97KB , url: http://en.wikipedia.org/wiki/History_of_laptops
ID: 102 , Time: 10:20PM Sep20 2015 , score: 228 , Depth: 3 , Access: True , Code: 200 , Size 241KB , url: http://en.wikipedia.org/wiki/Claude_Shannon
ID: 103 , Time: 10:20PM Sep20 2015 , score: 224 , Depth: 3 , Access: True , Code: 200 , Size 180KB , url: http://en.wikipedia.org/wiki/Turing_machine
ID: 104 , Time: 10:20PM Sep20 2015 , score: 224 , Depth: 3 , Access: True , Code: 200 , Size 180KB , url: http://en.wikipedia.org/wiki/Turing_Machine
ID: 105 , Time: 10:20PM Sep20 2015 , score: 224 , Depth: 3 , Access: True , Code: 200 , Size 602KB , url: http://en.wikipedia.org/wiki/Intel
ID: 106 , Time: 10:20PM Sep20 2015 , score: 224 , Depth: 2 , Access: True , Code: 200 , Size 79KB , url: http://en.wikipedia.org/wiki/Environmental_science
ID: 107 , Time: 10:20PM Sep20 2015 , score: 220 , Depth: 2 , Access: True , Code: 200 , Size 111KB , url: http://en.wikipedia.org/wiki/Computer_software
ID: 108 , Time: 10:20PM Sep20 2015 , score: 220 , Depth: 1 , Access: True , Code: 200 , Size 92KB , url: http://en.wikipedia.org/wiki/Computational_geometry
ID: 109 , Time: 10:20PM Sep20 2015 , score: 220 , Depth: 2 , Access: True , Code: 200 , Size 105KB , url: http://en.wikipedia.org/wiki/Association_for_Computing_Machinery
ID: 110 , Time: 10:20PM Sep20 2015 , score: 216 , Depth: 4 , Access: True , Code: 200 , Size 116KB , url: http://en.wikipedia.org/wiki/History_of_compiler_construction
ID: 111 , Time: 10:20PM Sep20 2015 , score: 212 , Depth: 4 , Access: True , Code: 200 , Size 111KB , url: http://en.wikipedia.org/wiki/Software
ID: 112 , Time: 10:20PM Sep20 2015 , score: 212 , Depth: 2 , Access: True , Code: 200 , Size 206KB , url: http://en.wikipedia.org/wiki/Biotechnology
ID: 113 , Time: 10:20PM Sep20 2015 , score: 208 , Depth: 0 , Access: True , Code: 200 , Size 572KB , url: https://www.coursera.org/course/cs101
ID: 114 , Time: 10:20PM Sep20 2015 , score: 208 , Depth: 2 , Access: True , Code: 200 , Size 105KB , url: http://en.wikipedia.org/wiki/Mobile_computing
ID: 115 , Time: 10:20PM Sep20 2015 , score: 204 , Depth: 2 , Access: True , Code: 200 , Size 142KB , url: http://en.wikipedia.org/wiki/Allen_Newell
ID: 116 , Time: 10:20PM Sep20 2015 , score: 196 , Depth: 4 , Access: True , Code: 200 , Size 98KB , url: http://en.wikipedia.org/wiki/Timeline_of_computing_1980%E2%80%9389
ID: 117 , Time: 10:20PM Sep20 2015 , score: 196 , Depth: 3 , Access: True , Code: 200 , Size 433KB , url: http://en.wikipedia.org/wiki/Linux
ID: 118 , Time: 10:20PM Sep20 2015 , score: 196 , Depth: 1 , Access: True , Code: 200 , Size 104KB , url: http://en.wikipedia.org/wiki/Computer_accessibility
ID: 119 , Time: 10:20PM Sep20 2015 , score: 192 , Depth: 2 , Access: True , Code: 200 , Size 88KB , url: http://en.wikipedia.org/wiki/Personal_information_management
ID: 120 , Time: 10:20PM Sep20 2015 , score: 192 , Depth: 3 , Access: True , Code: 200 , Size 200KB , url: http://en.wikipedia.org/wiki/Information_theory
ID: 121 , Time: 10:20PM Sep20 2015 , score: 192 , Depth: 1 , Access: True , Code: 200 , Size 153KB , url: http://en.wikipedia.org/wiki/Computational_complexity_theory
ID: 122 , Time: 10:20PM Sep20 2015 , score: 188 , Depth: 4 , Access: True , Code: 200 , Size 79KB , url: http://en.wikipedia.org/wiki/History_of_computing
ID: 123 , Time: 10:20PM Sep20 2015 , score: 188 , Depth: 2 , Access: True , Code: 200 , Size 197KB , url: http://en.wikipedia.org/wiki/Geography
ID: 124 , Time: 10:20PM Sep20 2015 , score: 184 , Depth: 1 , Access: True , Code: 200 , Size 38KB , url: http://en.wikipedia.org/wiki/Computer_scientist
ID: 125 , Time: 10:20PM Sep20 2015 , score: 184 , Depth: 3 , Access: True , Code: 200 , Size 561KB , url: http://en.wikipedia.org/wiki/Botany
ID: 126 , Time: 10:20PM Sep20 2015 , score: 184 , Depth: 2 , Access: True , Code: 200 , Size 202KB , url: http://en.wikipedia.org/wiki/Boolean_algebra
ID: 127 , Time: 10:20PM Sep20 2015 , score: 184 , Depth: 3 , Access: True , Code: 200 , Size 231KB , url: http://en.wikipedia.org/wiki/Antikythera_mechanism
ID: 128 , Time: 10:21PM Sep20 2015 , score: 180 , Depth: 3 , Access: True , Code: 200 , Size 268KB , url: http://en.wikipedia.org/wiki/Video_games
ID: 129 , Time: 10:21PM Sep20 2015 , score: 180 , Depth: 6 , Access: True , Code: 200 , Size 268KB , url: http://en.wikipedia.org/wiki/Video_game
ID: 130 , Time: 10:21PM Sep20 2015 , score: 180 , Depth: 4 , Access: True , Code: 200 , Size 129KB , url: http://en.wikipedia.org/wiki/Quantum_algorithm
ID: 131 , Time: 10:21PM Sep20 2015 , score: 180 , Depth: 3 , Access: True , Code: 200 , Size 111KB , url: http://en.wikipedia.org/wiki/Formal_methods
ID: 132 , Time: 10:21PM Sep20 2015 , score: 180 , Depth: 6 , Access: True , Code: 200 , Size 110KB , url: http://en.wikipedia.org/wiki/Apple_II
ID: 133 , Time: 10:21PM Sep20 2015 , score: 176 , Depth: 3 , Access: True , Code: 200 , Size 227KB , url: http://en.wikipedia.org/wiki/Neural_network
ID: 134 , Time: 10:21PM Sep20 2015 , score: 176 , Depth: 2 , Access: True , Code: 200 , Size 146KB , url: http://en.wikipedia.org/wiki/Embedded_system
ID: 135 , Time: 10:21PM Sep20 2015 , score: 176 , Depth: 3 , Access: True , Code: 200 , Size 260KB , url: http://en.wikipedia.org/wiki/Cryptography
ID: 136 , Time: 10:21PM Sep20 2015 , score: 176 , Depth: 3 , Access: False , Code: 200 , Size 41KB , url: http://en.wikipedia.org/w/index.php?title=Analog_computer&action=edit&section=2
ID: 137 , Time: 10:21PM Sep20 2015 , score: 172 , Depth: 4 , Access: True , Code: 200 , Size 315KB , url: http://en.wikipedia.org/wiki/Richard_Feynman
ID: 138 , Time: 10:21PM Sep20 2015 , score: 172 , Depth: 2 , Access: True , Code: 200 , Size 165KB , url: http://en.wikipedia.org/wiki/Oceanography
ID: 139 , Time: 10:21PM Sep20 2015 , score: 168 , Depth: 2 , Access: True , Code: 200 , Size 219KB , url: http://en.wikipedia.org/wiki/Mathematical_logic
ID: 140 , Time: 10:21PM Sep20 2015 , score: 168 , Depth: 3 , Access: True , Code: 200 , Size 118KB , url: http://en.wikipedia.org/wiki/2D_computer_graphics
ID: 141 , Time: 10:21PM Sep20 2015 , score: 164 , Depth: 3 , Access: True , Code: 200 , Size 187KB , url: http://en.wikipedia.org/wiki/Spreadsheets
ID: 142 , Time: 10:21PM Sep20 2015 , score: 164 , Depth: 2 , Access: True , Code: 200 , Size 74KB , url: http://en.wikipedia.org/wiki/Programmer
ID: 143 , Time: 10:21PM Sep20 2015 , score: 160 , Depth: 5 , Access: True , Code: 200 , Size 176KB , url: http://en.wikipedia.org/wiki/System/360
ID: 144 , Time: 10:21PM Sep20 2015 , score: 160 , Depth: 1 , Access: True , Code: 200 , Size 287KB , url: http://en.wikipedia.org/wiki/Purdue_University
ID: 145 , Time: 10:21PM Sep20 2015 , score: 160 , Depth: 6 , Access: True , Code: 200 , Size 94KB , url: http://en.wikipedia.org/wiki/Processor_architecture
ID: 146 , Time: 10:21PM Sep20 2015 , score: 160 , Depth: 3 , Access: True , Code: 200 , Size 62KB , url: http://en.wikipedia.org/wiki/Derek_J._de_Solla_Price
ID: 147 , Time: 10:21PM Sep20 2015 , score: 156 , Depth: 3 , Access: True , Code: 200 , Size 29KB , url: http://en.wikipedia.org/wiki/Theoretical_Computer_Science_(journal)
